14000303;556;540;677;678;603;502
14000304;665;714;535;611;570;601
14000305;566;478;738;682;742;487
14000306;735;685;684;611;624;487
14000307;621;561;669;545;660;594
14000308;714;503;668;559;530;565
14000309;590;494;536;528;680;628
14000310;558;702;595;514;684;569
14000311;677;712;726;561;666;574
14000312;604;690;728;583;553;717
14000313;622;501;697;514;665;668
14000314;626;575;488;536;513;684
14000315;687;695;564;506;696;737
14000316;529;491;564;659;511;732
14000317;672;703;703;517;692;609
14000318;651;544;575;584;729;744
14000319;700;482;620;736;507;708
14000320;560;499;488;555;638;745
14000321;685;562;718;529;541;748
14000322;730;675;538;668;662;655
14000323;541;503;533;502;713;593
14000324;659;564;625;575;656;742
14000325;703;619;711;573;538;654
14000326;713;574;505;627;503;566
14000327;519;667;558;537;643;721
14000328;541;569;649;749;491;476
14000329;716;688;575;575;519;651
14000330;586;703;733;488;657;732
14000331;569;528;641;742;623;586
14000332;567;570;722;488;700;534
14000333;646;682;693;520;488;584
14000334;484;690;642;617;747;704
14000335;743;485;633;513;525;597
14000336;553;613;619;532;485;535
14000337;506;490;683;723;623;676
14000338;618;737;556;521;653;569
14000339;546;664;674;577;540;688
14000340;742;491;678;724;655;567
14000341;691;737;691;725;708;538
14000342;574;587;528;651;655;602
14000343;484;720;644;499;480;664
14000344;576;691;543;583;747;479
14000345;553;688;610;601;528;539
14000346;488;695;664;726;486;674
14000347;701;501;591;732;496;719
14000348;737;565;565;568;588;546
14000349;510;611;643;625;738;730
14000350;708;729;677;730;725;527
14000351;644;688;666;700;725;539
14000352;593;634;570;655;623;696
14000353;736;487;729;480;654;692
14000354;530;505;704;521;567;499
14000355;494;485;735;662;720;721
14000356;551;649;633;550;562;488
14000357;570;506;549;578;728;609
14001719;716;568;682;731;651;691
14001720;589;479;498;701;610;578
14001721;619;569;630;585;709;543
14001722;537;475;633;721;560;662
14001723;686;539;702;630;528;488
14001724;558;663;566;688;721;742
14001725;496;714;589;628;678;693
14001726;627;628;537;648;724;498
14001727;731;562;598;589;493;675
14001728;568;572;556;590;737;540
14001729;573;676;490;711;681;741
14001730;622;732;645;641;681;680
14001731;546;630;708;510;525;677
14001732;591;509;616;588;639;551
14001733;647;696;702;621;514;678
14001734;652;651;522;697;602;609
14001735;615;648;719;687;656;710
14001736;615;666;637;678;641;651
14001737;574;532;624;481;737;736
14001738;511;568;704;589;577;491
14001739;577;525;508;654;675;665
14001740;744;671;529;622;528;649
